stock_id,stock_name,stock_ratio,industry
3008,大立光,1.83,光電業
3481,群創,0.22,光電業
2409,友達,0.27,光電業
9945,潤泰新,0.12,其他
5871,中租-KY,0.51,其他
9910,豐泰,0.40,其他
9904,寶成,0.32,其他
9921,巨大,0.22,其他
8464,億豐,0.22,其他
2354,鴻準,0.26,其他電子業
2317,鴻海,3.46,其他電子業
2474,可成,0.51,其他電子業
6239,力成,0.21,半導體業
2379,瑞昱,0.33,半導體業
3034,聯詠,0.38,半導體業
2344,華邦電,0.21,半導體業
2303,聯電,0.53,半導體業
2330,台積電,23.93,半導體業
2408,南亞科,0.70,半導體業
2454,聯發科,1.94,半導體業
3711,日月光投控,1.01,半導體業
1326,台化,1.43,塑膠工業
1303,南亞,1.58,塑膠工業
1301,台塑,1.76,塑膠工業
2542,興富發,0.15,建材營造
2105,正新,0.37,橡膠工業
1102,亞泥,0.44,水泥工業
1101,台泥,0.65,水泥工業
2207,和泰車,1.05,汽車工業
6505,台塑化,2.56,油電燃氣業
1402,遠東新,0.44,紡織纖維
1434,福懋,0.16,紡織纖維
1476,儒鴻,0.30,紡織纖維
2633,台灣高鐵,0.28,航運業
2618,長榮航,0.18,航運業
2610,華航,0.14,航運業
2603,長榮,0.16,航運業
2912,統一超,0.88,貿易百貨
2412,中華電,2.36,通信網路業
4904,遠傳,0.65,通信網路業
2345,智邦,0.25,通信網路業
3045,台灣大,1.07,通信網路業
2002,中鋼,1.03,鋼鐵工業
3702,大聯大,0.18,電子通路業
2347,聯強,0.17,電子通路業
4958,臻鼎-KY,0.35,電子零組件業
2492,華新科,0.29,電子零組件業
2327,國巨,0.48,電子零組件業
2308,台達電,1.05,電子零組件業
2385,群光,0.18,電子零組件業
2049,上銀,0.24,電機機械
1590,亞德客-KY,0.23,電機機械
2371,大同,0.13,電機機械
2395,研華,0.59,電腦及週邊設備業
4938,和碩,0.49,電腦及週邊設備業
2353,宏��,0.15,電腦及週邊設備業
2357,華碩,0.48,電腦及週邊設備業
2382,廣達,0.68,電腦及週邊設備業
2301,光寶科,0.32,電腦及週邊設備業
3231,緯創,0.22,電腦及週邊設備業
2324,仁寶,0.23,電腦及週邊設備業
2356,英業達,0.23,電腦及週邊設備業
2377,微星,0.20,電腦及週邊設備業
1216,統一,1.16,食品工業
1227,佳格,0.18,食品工業
